r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=41}, r2:{min=35, max=44}, r:{min:35, max:41}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=27}, r2:{min=20, max=31}, r:{min:20, max:27}
r1:{min=19, max=27}, r2:{min=20, max=31}, r:{min:20, max:27}
r1:{min=19, max=27}, r2:{min=20, max=31}, r:{min:20, max:27}
r1:{min=20, max=27}, r2:{min=15, max=31}, r:{min:20, max:27}
r1:{min=20, max=27}, r2:{min=15, max=31}, r:{min:20, max:27}
r1:{min=20, max=27}, r2:{min=15, max=31}, r:{min:20, max:27}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=5, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=42}, r2:{min=35, max=44}, r:{min:35, max:42}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=28}, r2:{min=20, max=31}, r:{min:20, max:28}
r1:{min=19, max=28}, r2:{min=20, max=31}, r:{min:20, max:28}
r1:{min=19, max=28}, r2:{min=20, max=31}, r:{min:20, max:28}
r1:{min=20, max=28}, r2:{min=15, max=31}, r:{min:20, max:28}
r1:{min=20, max=28}, r2:{min=15, max=31}, r:{min:20, max:28}
r1:{min=20, max=28}, r2:{min=15, max=31}, r:{min:20, max:28}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=4, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=43}, r2:{min=35, max=44}, r:{min:35, max:43}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=29}, r2:{min=20, max=31}, r:{min:20, max:29}
r1:{min=19, max=29}, r2:{min=20, max=31}, r:{min:20, max:29}
r1:{min=19, max=29}, r2:{min=20, max=31}, r:{min:20, max:29}
r1:{min=20, max=29}, r2:{min=15, max=31}, r:{min:20, max:29}
r1:{min=20, max=29}, r2:{min=15, max=31}, r:{min:20, max:29}
r1:{min=20, max=29}, r2:{min=15, max=31}, r:{min:20, max:29}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=4, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=25, max=27}, r2:{min=20, max=26}, r:{min:25, max:26}
r1:{min=34, max=44}, r2:{min=35, max=44}, r:{min:35, max:44}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=17, max=17}, r2:{min=16, max=17}, r:{min:17, max:17}
r1:{min=19, max=30}, r2:{min=20, max=31}, r:{min:20, max:30}
r1:{min=19, max=30}, r2:{min=20, max=31}, r:{min:20, max:30}
r1:{min=19, max=30}, r2:{min=20, max=31}, r:{min:20, max:30}
r1:{min=20, max=30}, r2:{min=15, max=31}, r:{min:20, max:30}
r1:{min=20, max=30}, r2:{min=15, max=31}, r:{min:20, max:30}
r1:{min=20, max=30}, r2:{min=15, max=31}, r:{min:20, max:30}
r1:{min=20, max=24}, r2:{min=20, max=26}, r:{min:20, max:24}
r1:{min=4, max=13}, r2:{min=5, max=12}, r:{min:5, max:12}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=19, max=27}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
r1:{min=20, max=26}, r2:{min=20, max=26}, r:{min:20, max:26}
