depth;maxdim;rect_distances;potential
4;873;505;0
4;873;491;0
4;873;474;0
4;873;502;0
4;873;502;0
4;873;502;0
4;873;474;0
4;873;505;0
4;873;491;0
4;873;474;0
4;873;502;0
4;873;502;0
4;873;502;0
4;873;474;0
4;873;505;0
4;873;491;0
4;873;474;0
4;873;502;0
4;873;502;0
4;873;502;0
4;873;474;0
4;800;557;0
4;800;557;0
4;800;557;0
4;873;502;0
4;873;502;0
4;873;502;0
4;873;502;0
3;873;394;0
3;873;313;0
3;873;393;0
3;873;313;0
3;873;313;0
3;873;438;0
3;873;410;0
4;812;562;0
4;873;508;0
4;873;491;0
4;873;522;0
4;873;522;0
4;873;522;0
4;873;491;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;873;507;0
4;873;490;0
4;873;521;0
4;873;521;0
4;873;521;0
4;873;490;0
4;873;538;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;812;480;71
4;812;473;71
4;873;438;42
4;873;486;42
4;873;479;42
4;873;438;0
4;873;438;0
4;873;491;0
4;873;491;0
4;873;410;0
4;873;490;0
4;873;410;0
4;873;410;0
4;858;394;15
3;873;394;0
3;873;313;0
3;873;393;0
3;873;313;0
3;873;313;0
3;873;438;0
3;873;410;0
4;812;561;0
4;873;508;0
4;873;491;0
4;873;522;0
4;873;522;0
4;873;522;0
4;873;491;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;873;507;0
4;873;490;0
4;873;521;0
4;873;521;0
4;873;521;0
4;873;490;0
4;873;538;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;873;441;0
4;873;427;0
4;873;410;0
4;873;438;0
4;873;438;0
4;873;438;0
4;873;410;0
4;812;479;71
4;812;472;71
4;873;438;43
4;873;486;43
4;873;479;43
4;873;438;0
4;873;438;0
4;873;491;0
4;873;491;0
4;873;410;0
4;873;490;0
4;873;410;0
4;873;410;0
4;858;394;15
3;873;394;0
3;873;313;0
3;873;393;0
3;873;313;0
3;873;313;0
3;873;438;0
3;873;410;0
4;812;559;0
4;873;508;0
4;873;491;0
4;873;522;0
4;873;522;0
4;873;522;0
4;873;491;0
4;873;441;0
